Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
31600,5139,4580,4478,3345,3479,3084
31700,5247,4513,4422,3132,3511,2857
31800,5193,4355,4470,3103,3511,2983
31900,5440,4474,4300,3019,3504,2830
32000,5490,4685,4483,3008,3671,2672
32100,5498,4608,4448,3150,3530,2882
32200,5320,4437,4483,3047,3535,3036
32300,5465,4475,4660,3227,3640,3135
32400,5409,4667,4565,3111,3644,3058
32500,5509,4704,4580,3033,3726,2957
32600,5340,4594,4564,3308,3642,2927
32700,5487,4492,4639,3061,3676,3023
32800,5400,4615,4643,3127,3564,3010
32900,5442,4656,4592,3397,3680,2993
33000,5391,4717,4581,3126,3820,2854
33100,5508,4596,4667,3226,3629,2958
33200,5617,4802,4548,3111,3730,2898
33300,5612,4723,4654,3193,4449,3124
33400,5644,4966,4569,3101,3751,3176
33500,5572,4795,4769,3018,3782,3055
33600,5554,4735,5017,3543,3772,3014
33700,5591,4765,4615,3153,3891,3178
33800,5611,4693,4686,3218,3861,3058
33900,5667,4835,4685,3210,3908,3053
34000,5680,4839,4648,3128,3816,3028
34100,5745,4901,4705,3316,3989,3395
34200,5694,4856,4713,3336,3928,3003
34300,5649,4988,4794,3240,3862,3205
34400,5864,4905,4723,3205,3852,3257
34500,5674,4857,4900,3289,3974,3174
34600,5785,4862,4616,3094,4047,2928
34700,5705,5006,4794,3217,3833,3217
34800,5899,4911,4730,3397,4140,3357
34900,6211,5224,5016,3360,3848,3153
35000,6027,5066,4701,3463,4088,3225
35100,6025,4970,4812,3367,3953,3134
35200,5929,4876,4874,3268,4096,3227
35300,5839,4961,5108,3414,3852,3165
35400,5832,5193,5122,3226,4069,3359
35500,5823,5199,5004,3411,3987,3239
35600,6003,5119,4901,3405,3948,3193
35700,6017,5121,5204,3572,3877,3347
35800,5919,4971,5547,3836,4103,3325
35900,6096,5265,5099,3352,4037,3253
36000,6028,5146,4923,3387,4010,3271
36100,6098,5192,5061,3383,4090,3467
36200,6194,5097,4949,3338,3960,3163
36300,5970,5224,5017,3560,4187,3352
36400,6492,5139,4942,3481,4071,3277
36500,6079,5218,5189,3672,4191,3252
36600,6354,5209,5218,3511,4030,3351
36700,6329,5337,5114,3528,4090,3411
36800,6277,5284,5400,3485,4414,3218
36900,6364,5285,5115,3622,4180,3457
37000,6370,5321,5151,3570,4205,3435
37100,6604,5361,5304,3360,4125,3433
37200,6355,5410,5292,3865,4059,3427
37300,6321,5529,5060,3600,4050,3308
37400,6290,5248,5091,3708,4142,3313
37500,6308,5221,5298,3664,4149,3486
37600,6354,5483,5484,3540,4213,3364
37700,6223,5453,5354,3611,4455,3326
37800,6362,5581,5562,3647,4181,3507
37900,6478,5225,5362,3573,4334,3371
38000,6294,5358,5286,3594,4297,3436
38100,6423,5481,5380,3475,4200,3463
38200,6632,5478,5376,3616,4379,3440
38300,6515,5527,5291,3500,4368,3552
38400,6727,5645,5324,3745,4288,3383
38500,6495,5547,5700,3578,4344,3472
38600,6564,5624,5469,3887,4458,3515
38700,6855,5394,5479,3578,4349,3608
38800,6493,5553,5498,3778,4414,3478
38900,6760,5686,5519,3715,4342,3516
39000,6948,5644,5502,3733,4477,3512
39100,6568,5632,5430,3855,4434,3615
39200,6647,5639,5482,3793,4533,3481
39300,6831,5887,5530,3704,4399,3473
39400,6704,5608,5527,4068,4490,3249
39500,6745,5975,5621,4003,4514,3638
39600,6665,5705,5563,3708,4457,3521
39700,6773,5648,5716,3881,4532,3592
39800,6743,5878,5847,3779,4457,3462
39900,6815,5799,5483,3685,4534,3485
40000,6771,5732,5883,3762,4375,3644
40100,6781,5647,5557,3963,4509,3532
40200,8152,5883,5768,3923,4687,3452
40300,6820,5818,5632,3761,4578,3610
40400,6802,5711,5761,3818,4485,3601
40500,6837,5787,5747,3969,4516,3673
40600,7019,5767,5824,4251,4533,3422
40700,6970,5833,5775,3989,4658,3571
40800,7104,5896,5683,4134,4554,3680
40900,6944,5923,5874,3885,4493,3726
41000,7042,5887,5760,4162,4746,3642
41100,7035,6019,6185,4151,4700,3657
41200,7297,6153,5984,4043,4646,3621
41300,6949,5858,5945,3973,4624,3829
41400,7040,6089,6003,3996,4762,3667
41500,7067,5855,6062,3994,4742,3836
41600,7201,6043,5808,4230,4592,3881
41700,7168,6132,6191,4179,4624,3849
41800,7223,6022,6017,4014,4738,3880
41900,7101,6058,5800,3976,4680,3659
42000,7064,6029,6003,3912,4816,3769
42100,7135,6110,5822,3904,4722,3742
42200,7522,6094,6177,4163,4799,3840
42300,7375,6121,5930,4250,4816,3888
42400,7296,6148,6108,4215,4791,3744
42500,7474,6067,6093,4243,4749,3729
42600,7280,6006,6039,4018,4779,3887
42700,7451,6208,6102,4113,4942,3822
42800,7385,6025,6037,4493,4981,3920
42900,7244,6175,6120,4283,4956,3939
43000,7432,6210,6154,4155,5166,3800
43100,7425,6170,6179,4180,4887,3863
43200,7505,6344,6235,4070,5011,3848
43300,7595,6352,6269,4358,4916,4014
43400,7557,6271,6232,4274,4887,4047
43500,7685,6185,6134,4221,5016,3924
43600,7702,6386,6050,4455,4930,4046
43700,7604,6279,6166,4160,5126,3909
43800,7732,6321,6352,4102,4958,3956
43900,7826,6493,6320,4125,4886,4103
44000,7755,6278,6096,4390,5109,3809
44100,7566,6289,6389,4301,5142,3889
44200,7663,6500,6394,4428,5181,4060
44300,7669,6373,6246,4691,5003,3864
44400,7803,6480,6231,4461,5216,4269
44500,7952,6358,6479,4907,5117,4042
44600,7665,6613,6391,4241,5085,4012
44700,7886,6528,6477,4351,5020,4236
44800,7868,6529,6620,4382,4965,4050
44900,7817,6511,6530,4546,5326,4182
45000,7847,6464,6372,4399,5066,4189
45100,8107,6431,6629,4534,5039,4043
45200,7841,6586,6297,4275,5022,4112
45300,7847,6670,6496,4344,5165,4058
45400,7806,6587,6365,4477,5303,4072
45500,7763,6516,6463,4557,5248,4330
45600,7982,6480,6452,4510,5162,4078
45700,8017,6859,6546,4410,5162,4261
45800,7980,6725,6619,4838,5249,4181
45900,8207,6857,7081,4410,5250,4078
46000,7888,6527,6722,4632,5252,4179
46100,8234,6952,6633,4410,5302,4364
46200,8131,6541,6523,4759,4753,3830
46300,7976,6911,6318,4570,5468,4061
46400,8062,6918,6503,4426,5293,4298
46500,8260,6732,6756,4766,5316,4135
46600,8232,6735,6669,4387,5242,4237
46700,8244,6856,6633,4582,5253,4226
46800,8107,6885,6433,4947,5291,4347
46900,8228,6790,6765,4527,5369,4247
47000,8406,7013,6947,4647,5211,4267
47100,8136,6929,6643,4622,5217,4167
47200,8242,6980,6682,4247,5448,4346
47300,8266,6887,6736,4672,5329,4263
47400,8285,6868,6819,4803,5386,4258
47500,8573,6903,6911,4576,5451,4323
47600,8321,7107,6922,4780,5385,4335
47700,8502,6911,6945,4638,5394,4274
47800,8456,6811,6698,4715,5581,4288
47900,8339,7151,6931,4810,5475,4269
48000,8510,6983,6831,4703,5563,4266
48100,8492,6830,7108,4562,5586,4383
48200,8472,7250,6835,4575,5498,4471
48300,8444,7002,6809,5113,5527,4216
48400,8457,7086,6847,4964,5490,4273
48500,8538,7049,7324,4858,5548,4256
48600,8611,7107,7041,4941,5405,4403
48700,8451,7165,6809,5201,5636,4340
48800,8523,7008,6844,4924,5602,4351
48900,8589,7073,7122,4870,5423,4510
49000,8676,6993,7085,5239,5595,4489
49100,8679,7041,7417,4954,5636,4372
49200,8719,7408,7095,4880,5432,4443
49300,8645,7110,7127,4903,5781,4614
49400,8692,7267,7172,5236,5514,4423
49500,8664,7217,6977,5000,5826,4414
49600,8663,7415,7319,4822,5647,4462
49700,8661,6992,7258,4843,5672,4551
49800,8542,7294,7556,4934,5722,4586
49900,8834,7470,7309,5042,5749,4488
50000,8916,7439,7189,4962,5690,4496
50100,8722,7390,7116,5056,5697,4555
50200,8940,7492,7191,5051,5818,4400
